Id,ORIGIN,DEST,DELAYS,ON_TIME,FLIGHTS,DELAY_RATIO
1476,FLL,BWI,116.0,290.0,415,27.951807228915662
557,BWI,FLL,98.0,304.0,415,23.6144578313253
1077,DEN,SAN,86.0,328.0,414,20.77294685990338
187,ATL,MDW,58.0,351.0,413,14.043583535108958
2422,MDW,ATL,55.0,356.0,413,13.317191283292978
3680,SEA,SAN,72.0,340.0,412,17.475728155339805
1021,DEN,IAH,63.0,285.0,412,15.29126213592233
3540,SAN,SEA,89.0,322.0,411,21.65450121654501
3904,SLC,PHX,65.0,344.0,410,15.853658536585366
3274,PHX,SLC,58.0,350.0,409,14.180929095354523
2397,MCO,PHL,80.0,323.0,408,19.607843137254903
2206,LGA,CLT,82.0,309.0,408,20.098039215686274
3270,PHX,SEA,113.0,295.0,408,27.69607843137255
3675,SEA,PHX,64.0,339.0,408,15.686274509803921
3170,PHL,MCO,105.0,295.0,407,25.798525798525798
177,ATL,LAS,86.0,318.0,406,21.182266009852217
728,CLT,LGA,95.0,287.0,405,23.45679012345679
2025,LAS,ATL,60.0,345.0,405,14.814814814814815
3002,ORD,MIA,57.0,338.0,398,14.321608040201005
2545,MIA,ORD,70.0,319.0,398,17.587939698492463
2060,LAS,JFK,93.0,293.0,396,23.484848484848484
1960,JFK,LAS,109.0,277.0,395,27.59493670886076
1186,DFW,SEA,97.0,292.0,393,24.681933842239186
3271,PHX,SFO,167.0,225.0,393,42.49363867684478
3637,SEA,DFW,75.0,309.0,392,19.132653061224488
2046,LAS,DFW,83.0,299.0,391,21.22762148337596
1145,DFW,LAS,95.0,287.0,391,24.296675191815858
3751,SFO,PHX,95.0,286.0,390,24.358974358974358
1790,IAH,LAX,57.0,270.0,390,14.615384615384615
3815,SJC,SEA,99.0,290.0,389,25.44987146529563
2132,LAX,IAH,39.0,286.0,388,10.051546391752577
3685,SEA,SJC,62.0,326.0,388,15.97938144329897
1765,IAH,DEN,67.0,261.0,385,17.4025974025974
1732,IAD,SFO,89.0,293.0,385,23.116883116883116
2996,ORD,MCO,50.0,330.0,381,13.123359580052494
2211,LGA,DEN,67.0,305.0,380,17.63157894736842
2392,MCO,ORD,75.0,298.0,379,19.788918205804748
3085,PBI,ATL,35.0,343.0,378,9.25925925925926
208,ATL,PBI,58.0,319.0,377,15.384615384615385
2943,ORD,CLT,57.0,315.0,375,15.2
738,CLT,ORD,86.0,286.0,373,23.056300268096514
3914,SLC,SEA,61.0,309.0,372,16.397849462365592
3686,SEA,SLC,45.0,324.0,371,12.129380053908356
1035,DEN,LGA,87.0,266.0,367,23.705722070844686
1709,IAD,DEN,70.0,291.0,367,19.07356948228883
165,ATL,HOU,67.0,237.0,366,18.306010928961747
1149,DFW,LGA,87.0,266.0,366,23.770491803278688
1638,HOU,ATL,65.0,241.0,366,17.759562841530055
2223,LGA,MCO,76.0,280.0,365,20.82191780821918
2381,MCO,LGA,85.0,266.0,365,23.28767123287671
240,ATL,STL,60.0,302.0,364,16.483516483516482
3723,SFO,IAD,97.0,265.0,364,26.64835164835165
3978,STL,ATL,44.0,319.0,363,12.121212121212121
2353,MCO,BOS,91.0,269.0,363,25.068870523415978
2212,LGA,DFW,78.0,276.0,363,21.487603305785125
455,BOS,JFK,89.0,264.0,362,24.585635359116022
3113,PDX,DEN,41.0,319.0,362,11.32596685082873
1063,DEN,PDX,68.0,292.0,362,18.784530386740332
3972,SNA,SJC,77.0,279.0,360,21.38888888888889
172,ATL,IND,58.0,300.0,360,16.11111111111111
3817,SJC,SNA,88.0,267.0,360,24.444444444444443
1864,IND,ATL,35.0,320.0,360,9.722222222222221
567,BWI,MCO,93.0,257.0,360,25.833333333333332
2356,MCO,BWI,69.0,277.0,359,19.220055710306408
3834,SJU,MCO,87.0,268.0,359,24.233983286908078
3214,PHX,DFW,56.0,299.0,359,15.598885793871867
461,BOS,MCO,102.0,255.0,358,28.491620111731844
1941,JFK,BOS,109.0,243.0,357,30.532212885154063
1172,DFW,PHX,85.0,268.0,357,23.80952380952381
1003,DEN,EWR,99.0,246.0,357,27.73109243697479
1020,DEN,IAD,71.0,286.0,357,19.88795518207283
2131,LAX,IAD,30.0,321.0,354,8.474576271186441
2410,MCO,SJU,80.0,270.0,354,22.598870056497177
2578,MKE,ORD,59.0,288.0,353,16.71388101983003
2092,LAS,SLC,78.0,273.0,353,22.096317280453256
3884,SLC,LAS,54.0,297.0,353,15.297450424929178
2723,MSP,SFO,98.0,255.0,353,27.762039660056658
3003,ORD,MKE,93.0,254.0,353,26.345609065155806
3741,SFO,MSP,97.0,255.0,353,27.478753541076486
529,BUR,OAK,103.0,228.0,350,29.428571428571427
2806,OAK,BUR,95.0,237.0,350,27.142857142857142
1718,IAD,LAX,56.0,292.0,350,16.0
